Ref,Val,Package,PosX,PosY,Rot,Side
"C277","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",30.000000,57.500000,0.000000,top
"C278","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",30.000000,55.500000,0.000000,top
"C279","CGA3E2C0G1H060D080AA","TDK-CGA3E-0.3-0.1-0-0-IPC_A",18.000000,37.500000,270.000000,top
"C280","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",14.500000,45.000000,180.000000,top
"C281","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",30.000000,39.500000,0.000000,top
"C282","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",14.500000,51.000000,0.000000,top
"C283","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",30.000000,45.500000,180.000000,top
"C284","CC0603MRX5R5BB225","YAGEO-CC0603-0-0-0",19.000000,47.000000,0.000000,top
"C285","CC0603KRX7R9BB103","YAGEO-CC0603-0-0-0",19.000000,49.000000,0.000000,top
"C286","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",12.400000,64.000000,180.000000,top
"C287","C0603C209C5GACTU","KEMET-C0603C-CF-0-0-MFG",30.000000,66.500000,0.000000,top
"C288","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",21.250000,65.500000,0.000000,top
"C289","CC0603KRX7R9BB102","YAGEO-CC0603-0-0-0",24.000000,65.500000,0.000000,top
"C290","CC0603KRX7R9BB181","YAGEO-CC0603-0-0-0",18.500000,66.000000,90.000000,top
"D1","BAT54T1G","On_Semiconductor-BAT54T1G-Manufacturer_Recommended",135.000000,21.000000,0.000000,top
"D2","BAT54T1G","On_Semiconductor-BAT54T1G-Manufacturer_Recommended",110.000000,3.000000,0.000000,top
"D3","LTST-C190TBKT","Vishay_Lite-On-LTST-C190TBKT-Manufacturer_Recommended",89.000000,3.000000,180.000000,top
"D4","LTST-C190KRKT","Lite-On-LTST-C190KRKT-MFG",89.000000,5.000000,0.000000,top
"D5","LTST-C190KGKT","Lite-On-LTST-C190KGKT-MFG",127.000000,18.500000,90.000000,top
"D6","LTST-C190KSKT","Lite-On-LTST-C190KSKT-MFG",129.000000,18.500000,90.000000,top
"D7","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",239.500000,53.500000,270.000000,top
"D8","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",255.000000,48.000000,270.000000,top
"D9","LTST-C190KSKT","Lite-On-LTST-C190KSKT-MFG",239.500000,59.500000,0.000000,top
"D10","LTST-C190KRKT","Lite-On-LTST-C190KRKT-MFG",247.500000,34.000000,0.000000,top
"D11","LTST-C190KGKT","Lite-On-LTST-C190KGKT-MFG",247.500000,31.000000,0.000000,top
"D12","LTST-C190TBKT","Vishay_Lite-On-LTST-C190TBKT-Manufacturer_Recommended",247.500000,28.000000,180.000000,top
"D13","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",214.500000,53.500000,270.000000,top
"D14","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",230.000000,48.000000,270.000000,top
"D15","LTST-C190KSKT","Lite-On-LTST-C190KSKT-MFG",214.500000,59.500000,0.000000,top
"D16","LTST-C190KRKT","Lite-On-LTST-C190KRKT-MFG",222.500000,34.000000,0.000000,top
"D17","LTST-C190KGKT","Lite-On-LTST-C190KGKT-MFG",222.500000,31.000000,0.000000,top
"D18","LTST-C190TBKT","Vishay_Lite-On-LTST-C190TBKT-Manufacturer_Recommended",222.500000,28.000000,180.000000,top
"D19","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",189.500000,53.500000,270.000000,top
"D20","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",205.000000,48.000000,270.000000,top
"D21","LTST-C190KSKT","Lite-On-LTST-C190KSKT-MFG",189.500000,59.500000,0.000000,top
"D22","LTST-C190KRKT","Lite-On-LTST-C190KRKT-MFG",197.500000,34.000000,0.000000,top
"D23","LTST-C190KGKT","Lite-On-LTST-C190KGKT-MFG",197.500000,31.000000,0.000000,top
"D24","LTST-C190TBKT","Vishay_Lite-On-LTST-C190TBKT-Manufacturer_Recommended",197.500000,28.000000,180.000000,top
"D25","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",164.500000,53.500000,270.000000,top
"D26","BAS40-7-F","Diodes_Inc.-SOT23-01_2017-0-MFG",180.000000,48.000000,270.000000,top
"D27","LTST-C190KSKT","Lite-On-LTST-C190KSKT-MFG",164.500000,59.500000,0.000000,top
"D28","LTST-C190KRKT","Lite-On-LTST-C190KRKT-MFG",172.500000,34.000000,0.000000,top
"D29","LTST-C190KGKT","Lite-On-LTST-C190KGKT-MFG",172.500000,31.000000,0.000000,top
